pairid,gender,status,phase,app_neighbour,app_partner,fspr_neighbour,fspr_partner,cavity_neighbour,ST_neighbour,hd_neighbour,hd_partner,bars_neighbour,bars_partner,freeze_neighbour,sbend_neighbour,sbend_partner,l_partner,l_neighbour
23,female,F,treatment,-10,1,-2,0,0,8,-1,0,0,0,-52.424,0,0,10.533999999999992,24.96
77,female,S,treatment,-8,0,-2,0,40,39,1,0,0,0,-3.133,0,0,62.141999999999996,22.11
37,female,S,treatment,-8,0,-7,0,-16,-9,0,0,0,0,-2.82,0,0,3.8800000000000097,24.197
19,female,F,treatment,-8,0,-5,0,5,11,0,0,0,0,-77.858,1,0,0.8589999999999947,43.245
53,female,S,treatment,44,-1,-5,-1,-2,1,0,0,0,0,-343.33,0,0,1.2420000000000044,3.147
78,female,F,treatment,0,1,-5,-3,-6,-6,0,0,0,0,0,-1,0,-65.435,-19.711
24,female,S,treatment,-2,-3,-17,-2,3,-1,-1,0,0,0,-24.54,0,0,103.452,77.333
54,female,F,treatment,-30,-6,0,0,3,2,0,0,0,0,-36.629,-25,0,73.501,14.206
38,female,F,treatment,7,-1,1,0,-6,-11,0,0,0,0,0,0,0,-8.274999999999991,-128.275
20,female,S,treatment,8,-9,-22,-1,-2,16,-1,0,-1,0,-1.988,0,0,115.184,122.359
23,male,F,treatment,-3,0,-4,1,0,2,-1,0,0,0,0,0,0,-89.786,-12.061000000000007
77,male,S,treatment,-9,0,4,-6,11,-3,1,0,-1,0,-3.133,0,0,106.176,42.802
37,male,S,treatment,-15,1,-16,-1,0,1,0,0,0,0,-3.826,-1,0,3.8800000000000097,8.981000000000002
19,male,F,treatment,-71,0,-6,0,4,48,0,0,0,0,-75.789,-1,0,0.8589999999999947,0.8579999999999997
53,male,S,treatment,33,0,-5,0,-1,-2,1,0,0,0,-328.372,5,0,1.2420000000000044,1.242
24,male,S,treatment,-8,-5,-11,-2,3,4,0,0,0,0,-4.219,0,0,-15.352000000000002,131.179
38,male,F,treatment,3,0,0,0,0,3,0,0,0,0,0,0,0,-8.274999999999991,-108.454
78,male,F,treatment,7,0,-7,2,-1,-12,0,0,0,0,0,0,0,-84.244,114.982
54,male,F,treatment,-24,1,-5,1,2,0,4,0,0,2,-72.914,-23,0,1.2420000000000044,2.746
20,male,S,treatment,26,0,-12,0,0,0,0,0,0,0,-59.887,0,0,6.070999999999998,126.071
