,int_pos,pair_id,status,cond,subject,app_int,app_n,app_p,fsp_int,fsp_n,fsp_p,sb_int,sb_n,sb_p,mwr_p,l_int,l_n
70,AD,61,F,control,m,-20.0,-1.0,-3.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.776999999999999,-17.01700000000001
71,A,63,S,treatment,m,21.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.884,57.988
72,A,65,S,treatment,m,-3.0,-9.0,1.0,4.0,-2.0,1.0,0.0,-2.0,0.0,-1.0,-67.965,61.573
73,AD,67,S,control,m,-1.0,2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,16.987,-38.14
74,AD,69,F,control,m,4.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,4.855,110.736
75,A,71,F,treatment,m,28.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,108.08999999999999,38.967
76,A,73,F,treatment,m,4.0,0.0,-2.0,-2.0,-1.0,0.0,-1.0,0.0,0.0,0.0,3.673,100.383
77,A,75,S,treatment,m,-2.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,34.276,30.328
78,A,77,S,treatment,m,-26.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,3.346,65.30300000000001
79,AD,79,S,control,m,9.0,-5.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,8.626000000000001,116.55999999999999
80,AD,2,F,control,nf,-7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.921,4.659999999999997
81,AD,4,S,control,nf,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.366,1.5559999999999832
82,A,6,S,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.614000000000004,4.6140000000000185
83,A,8,S,treatment,nf,0.0,0.0,-3.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-32.55199999999999,-32.55199999999999
84,AD,10,F,control,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.245999999999995,25.245999999999995
85,AD,12,S,control,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.491,5.4909999999999854
86,AD,14,F,control,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.724000000000004,7.724000000000004
87,AD,16,S,control,nf,0.0,0.0,3.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,-58.622000000000014,84.202
88,A,18,S,treatment,nf,0.0,-2.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.3289999999999935,91.107
89,A,20,S,treatment,nf,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,18.38900000000001,79.881
90,A,22,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4839999999999947,1.484000000000023
91,A,24,F,treatment,nf,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.6159999999999997,34.063
92,AD,26,F,control,nf,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.236999999999995,112.71199999999999
93,AD,28,S,control,nf,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7120000000000033,48.30300000000001
94,AD,30,S,control,nf,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.533000000000001,-34.67
95,A,32,F,treatment,nf,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.155,139.24599999999998
96,A,34,F,treatment,nf,0.0,-4.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-91.489,58.536
97,A,36,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.936000000000007,16.936000000000007
98,A,38,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.980999999999995,56.980999999999995
99,AD,40,F,control,nf,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.75900000000001,-0.8149999999999977
100,AD,42,S,control,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.588000000000008,11.588000000000008
101,AD,44,F,control,nf,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.739999999999995,16.73999999999998
102,AD,46,S,control,nf,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.699999999999989,7.699999999999989
103,A,48,F,treatment,nf,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.63,-0.6749999999999972
104,A,50,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9740000000000038,3.974000000000018
105,A,52,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.14200000000001,-7.14200000000001
106,A,54,F,treatment,nf,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.424999999999997,81.941
107,AD,56,F,control,nf,0.0,-4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20199999999999818,16.90299999999999
108,AD,58,S,control,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.915000000000006,8.915000000000006
109,AD,60,F,control,nf,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.247,4.246999999999986
110,AD,62,S,control,nf,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.638,-24.973000000000013
111,A,64,F,treatment,nf,0.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.09899999999999,114.15899999999999
112,A,66,F,treatment,nf,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.51400000000001,101.95
113,AD,68,F,control,nf,0.0,0.0,9.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.149000000000001,114.243
114,AD,70,S,control,nf,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,8.158999999999992,109.089
115,A,72,S,treatment,nf,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,15.620000000000005,94.12
116,A,74,S,treatment,nf,0.0,-11.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.2809999999999917,101.715
117,A,76,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.707999999999984,5.707999999999984
118,A,78,F,treatment,nf,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,7.456999999999994,107.25800000000001
119,AD,80,F,control,nf,0.0,-2.0,0.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,-102.314,101.48899999999999
120,AD,2,F,control,nm,-7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.313999999999998,4.659999999999997
121,AD,4,S,control,nm,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-45.973,-58.738000000000014
122,A,6,S,treatment,nm,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,4.614000000000004,18.09700000000001
123,A,8,S,treatment,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.55199999999999,-32.55199999999999
124,AD,10,F,control,nm,0.0,1.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,25.245999999999995,69.434
125,AD,12,S,control,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.491,5.4909999999999854
126,AD,14,F,control,nm,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,7.724000000000004,11.373000000000005
127,AD,16,S,control,nm,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.8160000000000025,74.712
128,A,18,S,treatment,nm,0.0,-11.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.3289999999999935,104.1
129,A,20,S,treatment,nm,4.0,0.0,0.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-95.48599999999999,68.707
130,A,22,F,treatment,nm,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.20599999999999,-8.715000000000003
131,A,24,F,treatment,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6159999999999997,-3.6159999999999854
132,AD,26,F,control,nm,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.236999999999995,113.46799999999999
133,AD,28,S,control,nm,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.21300000000001,-77.107
134,AD,30,S,control,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.533000000000001,4.532999999999987
135,A,32,F,treatment,nm,0.0,-3.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,45.155,139.24599999999998
136,A,34,F,treatment,nm,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.009,-1.8989999999999867
137,A,36,F,treatment,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.936000000000007,16.936000000000007
138,A,38,F,treatment,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.980999999999995,56.980999999999995
139,AD,40,F,control,nm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.174,-0.8149999999999977
140,AD,42,S,control,nm,-1.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,79.625,116.269
141,AD,44,F,control,nm,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.97899999999998,16.73999999999998
142,AD,46,S,control,nm,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,7.699999999999989,7.699999999999989
143,A,48,F,treatment,nm,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.6750000000000114,-0.6749999999999972
144,A,50,F,treatment,nm,-1.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,98.842,3.974000000000018
145,A,52,F,treatment,nm,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.94899999999998,-7.14200000000001
146,A,54,F,treatment,nm,0.0,-4.0,0.0,-1.0,-4.0,0.0,0.0,0.0,0.0,0.0,12.010999999999996,95.759
147,AD,56,F,control,nm,0.0,-16.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.20199999999999818,40.584999999999994
148,AD,58,S,control,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.915000000000006,8.915000000000006
