,int_pos,pair_id,status,cond,subject,app_int,app_n,app_p,fsp_int,fsp_n,fsp_p,sb_int,sb_n,sb_p,mwr_p,l_int,l_n
74,AD,69,F,control,m,4.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,4.855,110.736
75,AD,71,F,treatment,m,26.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,69.488,-53.260000000000005
76,AD,73,F,treatment,m,-9.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.8820000000000014,-7.2050000000000125
77,AD,75,S,treatment,m,-38.0,-1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,30.556000000000004,-70.80799999999999
78,AD,77,S,treatment,m,-15.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0120000000000005,4.0120000000000005
79,AD,79,S,control,m,9.0,-5.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,8.626000000000001,116.56
80,AD,2,F,control,nf,-7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.921,4.659999999999997
81,AD,4,S,control,nf,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.366,1.5560000000000116
82,AD,6,S,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.581000000000003,-30.581000000000003
83,AD,8,S,treatment,nf,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-3.325000000000003,91.50999999999999
84,AD,10,F,control,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.245999999999995,25.245999999999995
85,AD,12,S,control,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.491,5.491
86,AD,14,F,control,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.724000000000004,7.724000000000004
87,AD,16,S,control,nf,0.0,0.0,3.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,-58.622000000000014,84.202
88,AD,18,S,treatment,nf,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5919999999999987,99.955
89,AD,20,S,treatment,nf,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,80.315,117.708
90,AD,22,F,treatment,nf,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,2.125
91,AD,24,F,treatment,nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.00199999999998,-17.00199999999998
