status,cond,pair_id,subject,app_neighbour,app_partner,fspr_neighbour,fspr_partner,cavity_neighbour,ST_neighbour,hd_neighbour,hd_partner,bars_neighbour,bars_partner,freeze_neighbour,sbend_neighbour,sbend_partner,l_partner,l_neighbour
F,treatment,38,male,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.274999999999991,-108.454
F,treatment,48,female,-54.0,0.0,-6.0,-1.0,-3.0,21.0,0.0,0.0,0.0,0.0,-49.642,-3.0,0.0,42.899,42.899
F,treatment,48,male,57.0,-1.0,-11.0,0.0,3.0,2.0,-1.0,0.0,1.0,2.0,-37.352,-3.0,0.0,-110.81700000000001,23.45
F,treatment,50,female,-21.0,0.0,-19.0,-2.0,66.0,51.0,-2.0,0.0,0.0,0.0,0.0,-5.0,0.0,3.2900000000000063,3.29
F,treatment,50,male,-38.0,0.0,-13.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,-34.431,-2.0,0.0,3.2900000000000063,45.488
F,treatment,52,female,14.0,0.0,-3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-343.33,0.0,0.0,-15.918000000000006,26.163
F,treatment,52,male,7.0,0.0,-5.0,-1.0,0.0,-2.0,0.0,0.0,0.0,0.0,-328.372,0.0,0.0,26.16300000000001,46.016
F,treatment,54,female,-30.0,-6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,-36.629,-25.0,0.0,73.501,14.206
F,treatment,54,male,-24.0,1.0,-5.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,-72.914,-23.0,0.0,1.2420000000000044,2.746
F,treatment,64,female,-17.0,-3.0,-9.0,0.0,44.0,25.0,0.0,0.0,0.0,0.0,-34.732,-5.0,0.0,55.911,31.919
F,treatment,64,male,-19.0,0.0,-5.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,-11.196,-5.0,0.0,-58.489000000000004,58.488
F,treatment,66,female,-11.0,-2.0,-10.0,0.0,-2.0,20.0,0.0,0.0,0.0,0.0,-17.691,-3.0,0.0,24.958,24.958
F,treatment,66,male,-4.0,0.0,-8.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.598,-7.0,0.0,4.1370000000000005,87.752
F,treatment,71,female,-17.0,-3.0,-12.0,-1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,127.13300000000001,29.544
